user_id,count_orders,average_spend,return_ratio,segment_id
1,1,18.62,0.0,4
3,1,25.0,0.0,4
4,1,189.0,0.0,2
5,1,189.0,0.0,2
8,4,51.0,1.0,4
11,4,30.12,0.0,4
12,1,47.07,0.0,4
13,1,59.5,0.0,1
14,2,21.5,0.5,4
15,1,25.5,1.0,4
20,1,98.0,0.0,1
21,1,9.79,0.0,4
25,3,64.65,0.0,1
31,5,71.95,0.0,1
32,1,142.94,0.0,2
35,1,45.99,0.0,4
37,4,68.61,0.0,1
38,2,65.58,0.0,1
39,1,130.37,0.0,2
40,4,28.15,0.75,4
43,2,73.98,0.0,1
44,1,35.33,0.0,4
50,1,197.65,1.0,2
51,3,14.32,0.6666666666666666,4
58,1,26.98,0.0,4
59,3,93.94,0.0,1
60,6,90.98,0.0,1
61,1,12.99,1.0,4
64,3,36.17,0.6666666666666666,4
65,2,19.74,0.0,4
66,1,23.99,0.0,4
67,1,38.95,0.0,4
70,4,80.6,0.0,1
73,1,138.6,0.0,2
74,3,66.35,0.3333333333333333,1
76,7,40.58,0.0,4
81,1,59.95,0.0,1
82,2,34.0,0.0,4
83,1,49.95,0.0,4
86,2,42.38,0.0,4
87,1,30.0,0.0,4
89,4,47.81,0.0,4
92,1,65.0,0.0,1
93,2,46.49,0.0,4
96,1,199.0,0.0,2
97,3,114.67,0.0,2
98,1,30.99,0.0,4
99,1,25.0,0.0,4
100,2,74.99,0.0,1
103,2,24.82,0.0,4
104,5,46.2,0.8,4
106,1,12.37,0.0,4
107,1,29.41,0.0,4
109,2,48.55,0.0,4
110,2,47.0,0.0,4
112,1,14.99,0.0,4
113,1,46.36,0.0,4
114,3,54.32,0.0,1
115,1,24.99,0.0,4
117,1,31.5,0.0,4
119,1,24.99,0.0,4
122,1,78.0,0.0,1
123,2,31.49,0.0,4
126,1,129.0,0.0,2
128,1,65.0,0.0,1
129,2,23.89,0.0,4
133,1,39.5,0.0,4
134,1,29.99,0.0,4
135,2,27.47,0.0,4
139,1,9.41,0.0,4
140,3,20.35,0.0,4
143,1,15.0,0.0,4
144,3,28.65,0.0,4
146,3,299.26,0.3333333333333333,5
152,2,24.28,0.0,4
156,2,54.5,0.0,1
158,2,49.98,0.0,4
159,2,48.99,0.0,4
162,1,8.99,0.0,4
163,1,15.0,0.0,4
167,2,47.36,0.0,4
168,1,21.6,0.0,4
170,4,97.03,0.0,1
173,1,239.86,0.0,5
175,1,49.99,0.0,4
176,6,28.04,0.0,4
178,1,44.94,1.0,4
179,2,37.74,0.0,4
190,3,40.33,0.0,4
193,1,32.99,0.0,4
194,2,46.0,0.0,4
195,2,32.1,0.0,4
197,1,29.99,1.0,4
198,3,31.05,0.0,4
199,1,22.8,0.0,4
200,1,39.99,0.0,4
201,5,47.6,0.0,4
204,4,41.99,0.0,4
206,8,57.37,0.0,1
209,1,28.9,0.0,4
211,1,49.5,0.0,4
213,4,98.98,0.0,1
214,1,40.28,0.0,4
215,1,24.97,0.0,4
216,2,148.99,0.0,2
219,1,19.97,0.0,4
223,4,25.74,0.0,4
227,1,16.9,0.0,4
228,2,464.75,0.0,5
229,3,38.86,0.0,4
234,1,56.0,0.0,1
236,2,171.16,0.5,2
238,1,79.98,0.0,1
239,1,34.9,0.0,4
240,6,90.5,0.0,1
244,2,29.74,0.0,4
246,4,56.83,0.0,1
250,1,51.0,0.0,4
252,2,26.1,0.0,4
253,1,64.99,0.0,1
258,4,68.88,0.25,1
260,1,34.98,0.0,4
261,2,124.0,0.0,2
266,2,352.49,0.0,5
267,4,144.91,0.0,2
268,2,52.47,1.0,4
271,6,48.46,0.16666666666666666,4
273,1,34.99,0.0,4
277,1,79.95,0.0,1
278,3,60.98,0.0,1
280,2,70.99,0.0,1
281,1,157.5,0.0,2
284,4,35.22,0.0,4
290,4,45.48,0.0,4
291,2,47.25,0.0,4
295,2,64.49,0.0,1
302,1,20.99,0.0,4
306,1,37.46,0.0,4
308,2,62.49,0.0,1
310,1,19.99,0.0,4
311,4,47.44,0.0,4
316,1,35.99,1.0,4
317,3,18.82,0.0,4
323,4,32.55,0.0,4
324,1,34.99,0.0,4
327,1,39.99,0.0,4
328,2,50.07,0.0,4
330,1,132.3,0.0,2
331,3,53.93,0.3333333333333333,1
332,1,21.64,0.0,4
333,1,54.0,1.0,1
334,6,54.11,0.0,1
335,1,39.5,0.0,4
337,1,74.95,0.0,1
343,3,36.11,0.0,4
345,4,18.56,0.0,4
346,2,49.97,0.0,4
350,1,30.0,0.0,4
354,1,22.0,0.0,4
358,2,34.0,0.0,4
360,4,17.56,0.0,4
362,1,98.0,0.0,1
363,1,105.0,0.0,1
364,1,39.99,0.0,4
365,2,13.19,0.0,4
366,1,198.0,0.0,2
367,1,219.0,0.0,2
372,2,46.49,1.0,4
373,2,109.48,0.0,1
374,3,43.5,0.0,4
375,2,61.0,0.0,1
376,6,55.57,0.0,1
378,2,72.22,0.0,1
379,1,25.0,0.0,4
381,1,50.0,0.0,4
386,1,11.95,0.0,4
387,1,53.99,0.0,1
390,1,22.0,0.0,4
392,4,57.62,0.0,1
396,1,50.0,0.0,4
397,1,16.5,0.0,4
398,3,43.54,0.0,4
399,1,26.0,0.0,4
402,1,144.0,0.0,2
405,3,52.67,0.3333333333333333,4
406,1,46.0,0.0,4
407,1,54.0,0.0,1
408,1,149.99,0.0,2
409,1,24.5,0.0,4
410,2,55.82,0.0,1
413,1,78.0,0.0,1
414,6,39.83,0.0,4
415,9,44.46,0.0,4
416,1,44.99,0.0,4
418,1,41.25,0.0,4
419,1,44.0,0.0,4
424,1,70.0,0.0,1
425,1,70.78,0.0,1
426,1,6.99,0.0,4
427,1,200.0,0.0,2
430,2,98.97,0.0,1
433,3,35.37,0.0,4
434,2,53.49,0.0,1
436,1,50.99,0.0,4
445,1,39.99,0.0,4
446,1,36.95,1.0,4
447,1,220.0,0.0,2
453,1,39.0,0.0,4
455,1,100.0,0.0,1
456,1,180.0,0.0,2
457,1,2.95,0.0,4
458,3,44.02,0.0,4
461,3,67.97,0.6666666666666666,1
462,4,64.17,0.0,1
463,1,40.79,0.0,4
464,2,22.99,0.0,4
465,1,55.0,0.0,1
466,2,49.89,0.0,4
468,2,47.0,0.0,4
469,1,36.99,0.0,4
470,1,54.45,0.0,1
471,4,31.88,0.0,4
473,3,73.48,0.0,1
474,1,34.0,0.0,4
476,1,56.63,0.0,1
477,4,60.23,0.0,1
478,2,52.36,0.5,4
479,1,14.99,0.0,4
481,1,25.0,0.0,4
482,5,74.46,0.0,1
483,1,19.99,1.0,4
485,1,110.0,0.0,1
488,1,94.74,0.0,1
489,1,129.95,0.0,2
492,1,24.0,0.0,4
494,3,30.75,0.0,4
497,1,319.0,0.0,5
498,1,12.0,0.0,4
502,2,51.5,0.0,4
504,1,49.5,0.0,4
505,7,41.84,0.0,4
507,2,21.02,0.0,4
508,2,55.0,0.0,1
509,2,33.48,0.5,4
510,1,31.99,1.0,4
511,3,35.27,0.0,4
512,1,67.93,1.0,1
513,2,25.99,0.0,4
516,2,78.51,0.0,1
520,2,49.2,0.0,4
521,1,55.0,0.0,1
522,1,8.37,0.0,4
524,2,136.5,0.0,2
525,2,16.5,0.0,4
527,1,41.9,0.0,4
528,2,38.0,0.0,4
530,4,76.02,0.0,1
532,1,32.9,0.0,4
533,1,45.0,0.0,4
537,2,28.98,0.0,4
539,2,49.99,0.5,4
543,6,69.48,0.0,1
545,2,55.11,0.0,1
546,1,39.99,0.0,4
548,1,16.6,0.0,4
549,1,49.5,0.0,4
551,5,77.69,0.4,1
556,1,92.4,0.0,1
557,1,76.0,0.0,1
558,5,99.82,0.0,1
564,7,80.58,0.0,1
565,1,29.99,0.0,4
566,1,24.99,0.0,4
567,1,39.95,0.0,4
569,1,8.0,0.0,4
570,1,66.59,0.0,1
571,2,32.25,0.0,4
572,5,34.89,0.0,4
573,1,64.99,0.0,1
574,1,44.5,0.0,4
576,2,67.5,0.0,1
580,1,29.99,0.0,4
581,1,17.75,0.0,4
582,1,39.95,0.0,4
585,1,32.9,0.0,4
586,1,8.0,0.0,4
588,1,15.0,0.0,4
589,1,11.73,0.0,4
590,1,87.5,0.0,1
591,1,22.5,0.0,4
595,2,18.89,0.0,4
596,1,180.0,0.0,2
598,2,13.32,0.0,4
603,1,6.99,0.0,4
605,1,10.11,0.0,4
606,1,54.99,0.0,1
607,3,95.9,0.0,1
610,4,60.75,0.0,1
611,4,27.51,1.0,4
613,4,49.73,0.0,4
614,2,117.98,0.0,2
616,3,58.33,0.0,1
619,1,15.75,1.0,4
622,1,20.43,0.0,4
624,1,39.45,1.0,4
625,3,41.66,0.0,4
627,1,38.0,0.0,4
629,1,16.0,0.0,4
630,3,32.1,0.0,4
631,1,36.0,0.0,4
632,1,334.0,0.0,5
634,1,149.0,0.0,2
636,1,16.2,0.0,4
637,1,23.99,0.0,4
639,1,148.0,0.0,2
641,1,29.0,0.0,4
643,1,34.0,0.0,4
644,1,17.99,0.0,4
647,2,83.5,0.0,1
649,4,93.68,0.0,1
650,3,26.95,0.0,4
651,3,50.33,0.0,4
653,2,72.25,0.0,1
659,2,34.99,0.0,4
660,5,23.99,0.2,4
662,2,29.5,0.0,4
666,2,45.22,0.0,4
667,3,24.96,0.0,4
668,1,39.99,0.0,4
669,2,36.0,0.0,4
673,1,125.0,0.0,2
674,6,57.62,0.0,1
676,1,11.78,0.0,4
679,1,119.0,0.0,2
680,1,105.0,0.0,1
681,3,16.64,0.6666666666666666,4
682,2,49.46,0.0,4
683,2,8.44,0.5,4
687,1,74.5,1.0,1
689,4,62.37,0.0,1
690,2,34.25,0.0,4
694,4,43.49,0.0,4
695,1,51.0,0.0,4
699,2,31.98,0.0,4
701,3,27.48,0.0,4
702,1,59.74,0.0,1
703,2,43.95,0.0,4
704,3,53.99,0.0,1
705,1,17.95,0.0,4
708,2,54.97,0.0,1
709,1,79.5,0.0,1
711,1,11.99,0.0,4
714,2,42.97,0.0,4
715,1,57.83,0.0,1
716,1,15.64,0.0,4
717,1,26.45,0.0,4
718,1,25.0,0.0,4
719,2,11.99,1.0,4
721,1,66.0,0.0,1
723,3,98.0,0.0,1
725,2,34.45,0.0,4
727,4,145.28,0.0,2
729,1,25.99,0.0,4
